item_id,sentence,option1,option2,gold,has_dataset_pair,paired_item_id,pair_type_guess,safe_for_manual_perturbation,notes
1,Sarah was a much better surgeon than Maria so _ always got the easier cases.,Sarah,Maria,2,yes,2,lexical/attribute_flip,,
2,Sarah was a much better surgeon than Maria so _ always got the harder cases.,Sarah,Maria,1,yes,1,lexical/attribute_flip,,
3,"They were worried the wine would ruin the bed and the blanket, but the _ was't ruined.",blanket,bed,2,no,,,,
4,Terry tried to bake the eggplant in the toaster oven but the _ was too big.,eggplant,toaster,1,no,,,,
5,"At night, Jeffrey always stays up later than Hunter to watch TV because _ wakes up late.",Jeffrey,Hunter,1,no,,,,
6,"The cat of Sarah has some mouth problems, so she takes it to see Maria. _ is a responsible cat owner.",Sarah,Maria,1,no,,,,
7,The home that my parents had when I was in school was a lot nicer than my house now because the _ was sophisticated.,home,house,1,yes,8,lexical/attribute_flip,,
8,The home that my parents had when I was in school was a lot nicer than my house now because the _ is trashy.,home,house,2,yes,7,lexical/attribute_flip,,
9,"Natalie has a rich husband and lots of money, Jennifer is poor _ needs to make her clothes.",Natalie,Jennifer,2,no,,,,
10,Joe immediately went to bakery before the bank because the _ had a limited supply of what he wanted.,bakery,bank,1,yes,11,lexical/attribute_flip,,
11,Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.,bakery,bank,2,yes,10,lexical/attribute_flip,,
12,"I had to read an entire story for class tomorrow. Luckily, the _ was canceled.",story,class,2,yes,13,lexical/attribute_flip,,
13,"I had to read an entire story for class tomorrow. Luckily, the _ was short.",story,class,1,yes,12,lexical/attribute_flip,,
14,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,cafe,library,1,yes,15,lexical/attribute_flip,,
15,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.,cafe,library,2,yes,14,lexical/attribute_flip,,
16,Lindsey like to read graphic novels but Natalie liked classic literature to read. _ bought the new Frank Miller comic at the book store.,Lindsey,Natalie,1,no,,,,
17,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were new and perfect.,Michael,Leslie,2,yes,18,lexical/attribute_flip,,
18,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were old and used.,Michael,Leslie,1,yes,17,lexical/attribute_flip,,
19,"Leslie was nervous around parrots but Neil was not, since _ was bitten by a bird early in life.",Leslie,Neil,1,no,,,,
20,Christmas was a special holiday to Eric but not Adam since _ was a Jew.,Eric,Adam,2,no,,,,
21,To make frosting I needed pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away.  The _ was closer.,pudding,frosting,2,no,,,,
22,Benjamin was chosen instead of Brett to be the makeup artist for the play because _ was less experienced.,Benjamin,Brett,2,no,,,,
23,"Cynthia violated the rights of Amy, because _ had too much passivity with other people.",Cynthia,Amy,2,no,,,,
24,"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too much.",work,strength,1,yes,25,lexical/attribute_flip,,
25,"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too little.",work,strength,2,yes,24,lexical/attribute_flip,,
26,"The roof of Rachel's home is old and falling apart, while Betty's is new. The home value of _ is lower.",Rachel,Betty,1,no,,,,
27,All the clutter in the house excited Leslie but not Derrick because cleaning energized _ very much.,Leslie,Derrick,1,no,,,,
28,The portions of food today were bigger than the sizes yesterday because the _ fed more people.,portions,sizes,1,no,,,,
