item_id,cue_category,perturbation_type,original_sentence,perturbed_sentence,grammar_valid,meaning_preserved,gold_preserved,keep_for_analysis,validator_notes
4,structural,structural,"At night, Jeffrey always stays up later than Hunter to watch TV because _ wakes up late.","Because _ wakes up late., At night, Jeffrey always stays up later than Hunter to watch TV.",,,,,
6,structural,structural,The home that my parents had when I was in school was a lot nicer than my house now because the _ was sophisticated.,"Because the _ was sophisticated., The home that my parents had when I was in school was a lot nicer than my house now.",,,,,
7,structural,structural,The home that my parents had when I was in school was a lot nicer than my house now because the _ is trashy.,"Because the _ is trashy., The home that my parents had when I was in school was a lot nicer than my house now.",,,,,
9,structural,structural,Joe immediately went to bakery before the bank because the _ had a limited supply of what he wanted.,"Because the _ had a limited supply of what he wanted., Joe immediately went to bakery before the bank.",,,,,
10,structural,structural,Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.,"Because the _ had a substantial supply of what he wanted., Joe immediately went to bakery before the bank.",,,,,
13,structural,structural,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,"Because his paper could wait., He had enough time between classes to go to a cafe or to the library. He went to the _.",,,,,
14,structural,structural,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.,"Because his paper was due soon., He had enough time between classes to go to a cafe or to the library. He went to the _.",,,,,
16,structural,structural,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were new and perfect.,"Because _ wheels were new and perfect., Michael just bought brand new wheels for his truck unlike Leslie.",,,,,
17,lexical,adjective_polarity,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were old and used.,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were young and used.,,,,,
17,structural,structural,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were old and used.,"Because _ wheels were old and used., Michael just bought brand new wheels for his truck unlike Leslie.",,,,,
21,structural,structural,Benjamin was chosen instead of Brett to be the makeup artist for the play because _ was less experienced.,"Because _ was less experienced., Benjamin was chosen instead of Brett to be the makeup artist for the play.",,,,,
22,structural,structural,"Cynthia violated the rights of Amy, because _ had too much passivity with other people.","Because _ had too much passivity with other people., Cynthia violated the rights of Amy,.",,,,,
26,structural,structural,All the clutter in the house excited Leslie but not Derrick because cleaning energized _ very much.,"Because cleaning energized _ very much., All the clutter in the house excited Leslie but not Derrick.",,,,,
27,lexical,adjective_polarity,The portions of food today were bigger than the sizes yesterday because the _ fed more people.,The portions of food today were smallger than the sizes yesterday because the _ fed more people.,,,,,
27,structural,structural,The portions of food today were bigger than the sizes yesterday because the _ fed more people.,"Because the _ fed more people., The portions of food today were bigger than the sizes yesterday.",,,,,
27,lexical,lexical_swap,The portions of food today were bigger than the sizes yesterday because the _ fed more people.,The portions of food today were largeger than the sizes yesterday because the _ fed more people.,,,,,
29,structural,structural,"Christine was going to Jessica's house to do some cleaning in the kitchen, because _ was a energetic person.","Because _ was a energetic person., Christine was going to Jessica's house to do some cleaning in the kitchen,.",,,,,
35,structural,structural,I wanted to build a bathroom on the third floor of the house but I couldn't because the _ would be too full.,"Because the _ would be too full., I wanted to build a bathroom on the third floor of the house but I couldn't.",,,,,
37,lexical,adjective_polarity,"Tanya told Emily she couldn't come to work because her cat had an infection, but _ was lying.","Tanya tyoung Emily she couldn't come to work because her cat had an infection, but _ was lying.",,,,,
37,structural,structural,"Tanya told Emily she couldn't come to work because her cat had an infection, but _ was lying.","Because her cat had an infection, but _ was lying., Tanya told Emily she couldn't come to work.",,,,,
