item_id,cue_category,perturbation_type,original_sentence,perturbed_sentence,grammar_valid,meaning_preserved,gold_preserved,keep_for_analysis,validator_notes
4,structural,structural,"At night, Jeffrey always stays up later than Hunter to watch TV because _ wakes up late.","Because _ wakes up late, At night, Jeffrey always stays up later than Hunter to watch TV.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
6,structural,structural,The home that my parents had when I was in school was a lot nicer than my house now because the _ was sophisticated.,"Because the _ was sophisticated, The home that my parents had when I was in school was a lot nicer than my house now.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
7,structural,structural,The home that my parents had when I was in school was a lot nicer than my house now because the _ is trashy.,"Because the _ is trashy, The home that my parents had when I was in school was a lot nicer than my house now.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
9,structural,structural,Joe immediately went to bakery before the bank because the _ had a limited supply of what he wanted.,"Because the _ had a limited supply of what he wanted, Joe immediately went to bakery before the bank.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
10,structural,structural,Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.,"Because the _ had a substantial supply of what he wanted, Joe immediately went to bakery before the bank.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
13,structural,structural,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,"Because his paper could wait, He had enough time between classes to go to a cafe or to the library. He went to the _.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
14,structural,structural,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.,"Because his paper was due soon, He had enough time between classes to go to a cafe or to the library. He went to the _.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
16,structural,structural,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were new and perfect.,"Because _ wheels were new and perfect, Michael just bought brand new wheels for his truck unlike Leslie.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
17,lexical,adjective_polarity,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were old and used.,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were young and used.,no,no,no,no,Excluded: polarity reversal can change the intended gold referent; not evaluated with original gold label.
17,structural,structural,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were old and used.,"Because _ wheels were old and used, Michael just bought brand new wheels for his truck unlike Leslie.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
