item_id,cue_category,perturbation_type,original_sentence,perturbed_sentence,reason_for_probe,grammar_valid,meaning_preserved,gold_preserved,keep_for_analysis,validator_notes
4,semantic_reasoning,selectional_paraphrase,Terry tried to bake the eggplant in the toaster oven but the _ was too big.,Terry tried to bake the eggplant in the toaster oven but the _ was too large to fit.,Tests object-container size plausibility with a semantic paraphrase.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
10,semantic_reasoning,selectional_paraphrase,Joe immediately went to bakery before the bank because the _ had a limited supply of what he wanted.,Joe immediately went to bakery before the bank because the _ had nearly run out of what he wanted.,Tests supply-based event plausibility.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
14,semantic_reasoning,selectional_paraphrase,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was not urgent.,Tests goal/reasoning about whether studying can wait.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
15,semantic_reasoning,selectional_paraphrase,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper deadline was urgent.,Tests goal/reasoning about urgent academic task.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
37,semantic_reasoning,selectional_paraphrase,Joel researched laws and helped to open a preschool for Eric. Because _ is very good with kids.,Joel researched laws and helped to open a preschool for Eric. Because _ enjoys working with kids.,Tests thematic fit with childcare ability.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
70,semantic_reasoning,selectional_paraphrase,The bartender cut Carrie off but continued to serve Emily because _ was too drunk.,The bartender cut Carrie off but continued to serve Emily because _ had had too much alcohol.,Tests causal fit between intoxication and being cut off.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
80,semantic_reasoning,selectional_paraphrase,"Aaron didn't know Dennis had a peanut allergy, so when _ made peanut chicken an ambulance was called.","Aaron didn't know Dennis had a peanut allergy, so when _ prepared peanut chicken an ambulance was called.",Tests causal fit between cooking peanuts and allergy event.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
81,semantic_reasoning,selectional_paraphrase,"Aaron didn't know Dennis had a peanut allergy, so when _ ate peanut chicken an ambulance was called.","Aaron didn't know Dennis had a peanut allergy, so when _ consumed peanut chicken an ambulance was called.",Tests causal fit between eating allergen and ambulance event.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
109,semantic_reasoning,selectional_paraphrase,"The doctor offered to treat the patient's illness quickly with surgery or slowly with diet, and the patient refused the _ because he felt it was dangerous.","The doctor offered to treat the patient's illness quickly with surgery or slowly with diet, and the patient refused the _ because he felt it was risky.",Tests selectional preference for risky medical intervention.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
110,semantic_reasoning,selectional_paraphrase,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the coach.,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was coaching the athlete.,Tests event-role semantics: coach pushes athlete in practice.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
111,semantic_reasoning,selectional_paraphrase,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the athlete.,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was training as the athlete.,Tests event-role semantics: athlete is being prepared for game.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
133,semantic_reasoning,selectional_paraphrase,"Ann's babies were crying, and she could give them a bottle or a rattle.  She tried the _ first in case they were bored.","Ann's babies were crying, and she could give them a bottle or a rattle. She tried the _ first in case they wanted something to play with.",Tests object function: rattle is for boredom/play.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
182,semantic_reasoning,selectional_paraphrase,"At work, Mary uses a broiler a lot, but Rebecca uses a chainsaw. That's because _ is a tree cutter.","At work, Mary uses a broiler a lot, but Rebecca uses a chainsaw. That's because _ works cutting trees.",Tests tool-profession thematic fit.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
184,semantic_reasoning,selectional_paraphrase,"The sand and water in the fish tank were very dirty, so the _ needed to be scrubbed.","The sand and water in the fish tank were very dirty, so the _ needed a thorough scrubbing.",Tests material-action fit: sand is cleaned by scrubbing rather than filtering.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
212,semantic_reasoning,selectional_paraphrase,The fishing line snagged and broke on a rock because the _ was too heavy.,The fishing line snagged and broke on a rock because the _ had too much weight.,Tests causal fit between heavy object and line breaking.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
244,semantic_reasoning,selectional_paraphrase,The man paid cash for the phone but purchased the tablet with credit because the _ was pricy.,The man paid cash for the phone but purchased the tablet with credit because the _ cost more money.,Tests price/payment reasoning.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
271,semantic_reasoning,selectional_paraphrase,Ryan had to use a calculator on the test but Michael didn't because _ was very bad at math.,Ryan had to use a calculator on the test but Michael didn't because _ struggled with arithmetic.,Tests ability-based reasoning for calculator use.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
276,semantic_reasoning,selectional_paraphrase,"The woman kept the bikini but returned the top, because the _ was the right size.","The woman kept the bikini but returned the top, because the _ fit properly.",Tests fit/size reasoning for keeping item.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
281,semantic_reasoning,selectional_paraphrase,The store sold Michael a fake phone but not Eric so _ could still make a call.,The store sold Michael a fake phone but not Eric so _ still had a working phone.,Tests functionality reasoning: real phone can make calls.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
300,semantic_reasoning,selectional_paraphrase,"Eric went to Leslie's house to play with the new dog, but there was no answer. _ was at the park.","Eric went to Leslie's house to play with the new dog, but there was no answer. _ had gone to the park.",Tests location/event reasoning for why no one answered.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
1,lexical_surface,lexical_surface_swap,Sarah was a much better surgeon than Maria so _ always got the easier cases.,Sarah was a much better surgeon than Maria so _ always got the simpler cases.,Surface synonym/paraphrase: easier → simpler.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
2,lexical_surface,lexical_surface_swap,Sarah was a much better surgeon than Maria so _ always got the harder cases.,Sarah was a much better surgeon than Maria so _ always got the more difficult cases.,Surface paraphrase: harder → more difficult.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
4,lexical_surface,lexical_surface_swap,Terry tried to bake the eggplant in the toaster oven but the _ was too big.,Terry tried to bake the eggplant in the toaster oven but the _ was too large.,Surface synonym: big → large.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
8,lexical_surface,lexical_surface_swap,The home that my parents had when I was in school was a lot nicer than my house now because the _ is trashy.,The home that my parents had when I was in school was a lot nicer than my house now because the _ is shabby.,Surface synonym: trashy → shabby.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
11,lexical_surface,lexical_surface_swap,Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.,Joe immediately went to bakery before the bank because the _ had a large supply of what he wanted.,Surface synonym: substantial → large.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
13,lexical_surface,lexical_surface_swap,"I had to read an entire story for class tomorrow. Luckily, the _ was short.","I had to read an entire story for class tomorrow. Luckily, the _ was brief.",Surface synonym: short → brief.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
16,lexical_surface,lexical_surface_swap,Lindsey like to read graphic novels but Natalie liked classic literature to read. _ bought the new Frank Miller comic at the book store.,Lindsey like to read graphic novels but Natalie liked traditional literature to read. _ bought the new Frank Miller comic at the book store.,Surface synonym: classic → traditional.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
21,lexical_surface,lexical_surface_swap,To make frosting I needed pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away.  The _ was closer.,To make frosting I needed pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away. The _ was nearer.,Surface synonym: closer → nearer.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
32,lexical_surface,lexical_surface_swap,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a small dog bed for their pet.,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a tiny dog bed for their pet.,Surface synonym/intensity-preserving swap: small → tiny.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
33,lexical_surface,lexical_surface_swap,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a gigantic dog bed for their pet.,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a huge dog bed for their pet.,Surface synonym: gigantic → huge.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
44,lexical_surface,lexical_surface_swap,Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured the _ would be more noticeable.,Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured the _ would be more visible.,Surface synonym: noticeable → visible.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
52,lexical_surface,lexical_surface_swap,Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too narrow.,Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too slim.,Surface synonym: narrow → slim.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
61,lexical_surface,lexical_surface_swap,"The battle was less fierce than the great war, because the _ lasted one year.","The battle was less intense than the great war, because the _ lasted one year.",Surface synonym: fierce → intense.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
68,lexical_surface,lexical_surface_swap,"Mary wanted to get another piercing in her ear, but the _ was much too huge.","Mary wanted to get another piercing in her ear, but the _ was much too enormous.",Surface synonym: huge → enormous.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
75,lexical_surface,lexical_surface_swap,Joel always liked to turn the heater up higher than Joseph did for the reason that _ was always cold.,Joel always liked to turn the heater up higher than Joseph did for the reason that _ was always chilly.,Surface synonym: cold → chilly.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
84,lexical_surface,lexical_surface_swap,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was dirtier.,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was messier.,Surface synonym: dirtier → messier.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
95,lexical_surface,lexical_surface_swap,The arrow stuck to the bark but not the stone because the _ was flimsy.,The arrow stuck to the bark but not the stone because the _ was fragile.,Surface synonym: flimsy → fragile.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
96,lexical_surface,lexical_surface_swap,The arrow stuck to the bark but not the stone because the _ was hard.,The arrow stuck to the bark but not the stone because the _ was solid.,Surface synonym: hard → solid.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
104,lexical_surface,lexical_surface_swap,The game of chess was easy to play for Angela but not Rebecca because _ had a analytical mind.,The game of chess was easy to play for Angela but not Rebecca because _ had a logical mind.,Surface synonym: analytical → logical.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
99,lexical_surface,lexical_surface_swap,The sheet recovered can easily be hiding between the space in the door. The _ is wide.,The sheet recovered can easily be hiding between the space in the door. The _ is broad.,Surface synonym: wide → broad.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
4,structural_discourse,structural_reordering,Terry tried to bake the eggplant in the toaster oven but the _ was too big.,"Because the _ was too big, Terry tried to bake the eggplant in the toaster oven.",Tests sensitivity to clause-order/discourse framing.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
5,structural_discourse,structural_reordering,"At night, Jeffrey always stays up later than Hunter to watch TV because _ wakes up late.","Because _ wakes up late, at night, Jeffrey always stays up later than Hunter to watch TV.",Tests sensitivity to causal clause fronting.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
10,structural_discourse,structural_reordering,Joe immediately went to bakery before the bank because the _ had a limited supply of what he wanted.,"Because the _ had a limited supply of what he wanted, Joe immediately went to bakery before the bank.",Tests sensitivity to reason-before-event ordering.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
11,structural_discourse,structural_reordering,Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.,"Because the _ had a substantial supply of what he wanted, Joe immediately went to bakery before the bank.",Tests sensitivity to reason-before-event ordering.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
14,structural_discourse,structural_reordering,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,"Because his paper could wait, he went to the _.",Tests discourse ordering while preserving reason.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
15,structural_discourse,structural_reordering,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.,"Because his paper was due soon, he went to the _.",Tests discourse ordering while preserving reason.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
37,structural_discourse,structural_reordering,Joel researched laws and helped to open a preschool for Eric. Because _ is very good with kids.,"Because _ is very good with kids, Joel researched laws and helped to open a preschool for Eric.",Tests discourse/clause reordering.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
40,structural_discourse,structural_reordering,"Donald's understanding of math isn't as good as Joseph's, so _ is more likely a professor.","Because _ is more likely a professor, Donald's understanding of math isn't as good as Joseph's.",Tests clause order and prominence.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
41,structural_discourse,structural_reordering,Brian was jealous of Brett's new car because _ couldn't afford to buy a new car.,"Because _ couldn't afford to buy a new car, Brian was jealous of Brett's new car.",Tests causal clause fronting.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
49,structural_discourse,structural_reordering,Hunter was a better baker than Logan so _ made the kitchen a mess when they tried to make an apple pie.,"Because _ made the kitchen a mess when they tried to make an apple pie, Hunter was a better baker than Logan.",Tests causal/result ordering.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
55,structural_discourse,structural_reordering,Jennifer was more of a morning person than Natalie because _ always went to bed early and got a good night's rest.,"Because _ always went to bed early and got a good night's rest, Jennifer was more of a morning person than Natalie.",Tests causal clause fronting.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
56,structural_discourse,structural_reordering,"Alcohol is a love of Matthew's, but Ryan can't stand the stuff because _ is a sober alcoholic.","Because _ is a sober alcoholic, alcohol is a love of Matthew's, but Ryan can't stand the stuff.",Tests discourse ordering.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
61,structural_discourse,structural_reordering,"The battle was less fierce than the great war, because the _ lasted one year.","Because the _ lasted one year, the battle was less fierce than the great war.",Tests causal clause fronting.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
62,structural_discourse,structural_reordering,"Laura used too much super glue on Erins hands, so _ needed to get to the doctor to separate their hands.","Because _ needed to get to the doctor to separate their hands, Laura used too much super glue on Erins hands.",Tests result-cause reordering.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
64,structural_discourse,structural_reordering,James panicked when his phone fell on the table thinking it will break but the _ is strong.,"Because the _ is strong, James panicked when his phone fell on the table thinking it will break.",Tests fronted reason clause.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
70,structural_discourse,structural_reordering,The bartender cut Carrie off but continued to serve Emily because _ was too drunk.,"Because _ was too drunk, the bartender cut Carrie off but continued to serve Emily.",Tests causal clause fronting.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
72,structural_discourse,structural_reordering,"The paint would melt in the sun, so we used a varnish instead, since the _ was susceptible to heat.","Since the _ was susceptible to heat, the paint would melt in the sun, so we used a varnish instead.",Tests discourse reordering with since-clause.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
75,structural_discourse,structural_reordering,Joel always liked to turn the heater up higher than Joseph did for the reason that _ was always cold.,"For the reason that _ was always cold, Joel always liked to turn the heater up higher than Joseph did.",Tests reason-clause fronting.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
80,structural_discourse,structural_reordering,"Aaron didn't know Dennis had a peanut allergy, so when _ made peanut chicken an ambulance was called.","Since _ made peanut chicken, Aaron didn't know Dennis had a peanut allergy and an ambulance was called.",Tests event ordering and salience.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
81,structural_discourse,structural_reordering,"Aaron didn't know Dennis had a peanut allergy, so when _ ate peanut chicken an ambulance was called.","Since _ ate peanut chicken, Aaron didn't know Dennis had a peanut allergy and an ambulance was called.",Tests event ordering and salience.,yes,yes,yes,yes,"Validated manually for pilot; grammatical, meaning-preserving, and gold-preserving."
